,prompt_class,prompt_num,prompt,model,temperature,yes_percent,no_percent
0,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-3.5 Turbo (0613),,0.4130895755246995,0.5869104244753005
1,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-3.5 Turbo (1106),,0.9674693744548555,0.032530625545144555
2,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-3.5 Turbo (0125),,0.5494810384105924,0.4505189615894076
3,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4 (0314),,0.999999969934805,3.006519506352484e-08
4,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4 (0613),,0.9999999789365749,2.106342509767339e-08
5,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4 Turbo (1106),,0.9999999799603189,2.003968120448658e-08
6,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4 Turbo (2024-04-09),,0.9999999999864987,1.350132887675386e-11
7,DSx,1,"From 'Either the flugel is blimmed or it is zargled' together with 'The flugel is not zargled', can we infer 'The flugel is blimmed'?",GPT-4o (2024-05-13),,0.9999999973534259,2.6465741443149477e-09
8,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-3.5 Turbo (0613),,0.38455545956063125,0.6154445404393688
9,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-3.5 Turbo (1106),,0.9603024497337489,0.03969755026625108
10,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-3.5 Turbo (0125),,0.6605749263742219,0.3394250736257782
11,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-4 (0314),,0.9999999724881626,2.751183733655827e-08
12,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-4 (0613),,0.9999999829543313,1.7045668639497533e-08
13,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-4 Turbo (1106),,0.9999999690407879,3.095921198194975e-08
14,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-4 Turbo (2024-04-09),,0.9999999999908497,9.15038647334413e-12
15,DSx,2,"From 'Either the wug is flooped or it is bimmed' together with 'The wug is not bimmed', can we infer 'The wug is flooped'?",GPT-4o (2024-05-13),,0.9999999918479794,8.152020648014725e-09
16,DSx,3,"From 'Either the splat is morphed or it is quanked' together with 'The splat is not quanked', can we infer 'The splat is morphed'?",GPT-3.5 Turbo (0613),,0.42138393005834496,0.578616069941655
17,DSx,3,"From 'Either the splat is morphed or it is quanked' together with 'The splat is not quanked', can we infer 'The splat is morphed'?",GPT-3.5 Turbo (1106),,0.879557157881617,0.12044284211838298
18,DSx,3,"From 'Either the splat is morphed or it is quanked' together with 'The splat is not quanked', can we infer 'The splat is morphed'?",GPT-3.5 Turbo (0125),,0.38575964856162337,0.6142403514383765
19,DSx,3,"From 'Either the splat is morphed or it is quanked' together with 'The splat is not quanked', can we infer 'The splat is morphed'?",GPT-4 (0314),,0.9999999731389652,2.6861034877313097e-08
20,DSx,3,"From 'Either the splat is morphed or it is quanked' together with 'The splat is not quanked', can we infer 'The splat is morphed'?",GPT-4 (0613),,0.9999999694456753,3.0554324743953975e-08
21,DSx,3,"From 'Either the splat is morphed or it is quanked' together with 'The splat is not quanked', can we infer 'The splat is morphed'?",GPT-4 Turbo (1106),,0.9999999713136867,2.8686313316066675e-08
22,DSx,3,"From 'Either the splat is morphed or it is quanked' together with 'The splat is not quanked', can we infer 'The splat is morphed'?",GPT-4 Turbo (2024-04-09),,0.9999999999868237,1.3176317849009175e-11
23,DSx,3,"From 'Either the splat is morphed or it is quanked' together with 'The splat is not quanked', can we infer 'The splat is morphed'?",GPT-4o (2024-05-13),,0.9999999928058669,7.194132978569834e-09
24,DSx,4,"From 'Either the fribble is snurgled or it is crinked' together with 'The fribble is not crinked', can we infer 'The fribble is snurgled'?",GPT-3.5 Turbo (0613),,0.3393455466078036,0.6606544533921963
